200;1;1;1                                                                        
120;1;2;1                                                                         
55;1;4;1                                                          
60;1;12;4                                                                        
50;1;8;4                                                                 
15;1;6;5                                                       
35;2;11;2                                                              
155;2;1;2                                                                        
10;2;12;2                                                                
30;2;11;2                
200;3;2;1                                                                         
70;3;2;3 
215;3;1;1                                                                        
32;3;12;3                                                              
170;4;2;2                                                                         
120;4;4;2                                                                         
60;4;1;2                                                                 
50;4;3;2                                                                         
10;4;6;2                                                                 
50;4;7;4 
20;5;7;3                                                                         
20;5;6;3                                                                         
120;5;1;3                                                                        
10;5;6;3 
150;6;1;4                                                                        
12;6;6;4                                                                         
40;6;8;4                                                                         
60;6;2;4                                                                 
20;6;7;4 
40;7;4;3                                                                         
55;7;11;3                                                                
100;7;7;5                                                               
120;7;1;5                                                                        
