;03/09/2018;236CKV95;1
;03/09/2018;257DEF95;2
;03/09/2018;357BAS95;3
;03/09/2018;763OPE95;4
;03/09/2018;124FAK95;5
;03/09/2018;658SQL95;6
;03/09/2018;532DFC95;7
;20/09/2018;257DEF95;1
;20/09/2018;357BAS95;2
;20/09/2018;763OPE95;3
;20/09/2018;124FAK95;4
;21/09/2018;658SQL95;6
;21/09/2018;532DFC95;7
;27/09/2018;257DEF95;7
;27/09/2018;357BAS95;5
;27/09/2018;763OPE95;3
;30/09/2018;124FAK95;2
;30/09/2018;658SQL95;1
;30/09/2018;532DFC95;4
;04/10/2018;257DEF95;4
;04/10/2018;357BAS95;6
;10/10/2018;763OPE95;7
;10/10/2018;124FAK95;5
;10/10/2018;658SQL95;3
;10/10/2018;532DFC95;2
;15/10/2018;257DEF95;2
;15/10/2018;357BAS95;1
;15/10/2018;763OPE95;4
;20/10/2018;124FAK95;6
;20/10/2018;658SQL95;7
;20/10/2018;532DFC95;3
