100;1;1;1                                                                        
290;1;2;1                                                            
55;1;4;1 
60;1;12;4                                                                        
50;1;8;4                                                                 
20;1;6;5                                           
85;2;11;2                                                              
115;2;1;2                                                                        
10;2;12;2   
50;3;7;1                                                                         
140;3;2;3 
170;3;1;1                                                                        
35;3;12;3                                                   
50;4;2;2                                                                         
100;4;4;2                                                                         
130;4;1;2                                                                 
50;4;3;2                                                                         
20;4;6;2                                                                 
50;4;7;4 
20;5;7;3                                                                         
60;5;6;3                                                                         
110;5;1;3 
150;6;1;4   
60;6;5;4                                                                       
14;6;6;4   
10;6;7;4                                                                       
40;6;8;4 
60;7;4;3                                                                         
50;7;11;3                                                                
110;7;7;5                                                               
80;7;1;5                                                                        
