;10/09/2018;125ABC59;1
;10/09/2018;658DEC59;2
;10/09/2018;632BRL59;3
;10/09/2018;221REN59;4
;10/09/2018;102YEK59;5
;10/09/2018;688BRF59;6
;10/09/2018;652GGF59;7
;20/09/2018;156KLA59;1
;20/09/2018;652GGF59;2
;21/09/2018;688BRF59;3
;21/09/2018;632BRL59;4
;22/09/2018;125ABC59;6
;22/09/2018;632BRL59;7
;26/09/2018;102YEK59;7
;26/09/2018;688BRF59;5
;26/09/2018;652GGF59;3
;30/09/2018;125ABC59;2
;30/09/2018;658DEC59;1
;30/09/2018;632BRL59;4
;05/10/2018;221REN59;4
;05/10/2018;102YEK59;6
;11/10/2018;688BRF59;7
;11/10/2018;652GGF59;5
;11/10/2018;156KLA59;3
;11/10/2018;125ABC59;2
;14/10/2018;658DEC59;2
;14/10/2018;632BRL59;1
;14/10/2018;102YEK59;4
;21/10/2018;688BRF59;6
;21/10/2018;156KLA59;7
;21/10/2018;221REN59;3
